service (원래 사업 이름)	띄어쓰기한 사업 이름 	category_one	category_two	category_three	assigned	summary
한양도성기록물 수집및 발간	한양도성 기록물 수집 발간	문화체육관광	문화예술	지역문화예술진흥 	0	0
한양도성안 도로공간 재편 시범사업	한양도성 도로 공간 재편 시범 사업	수송및교통	도로	도로관리 	5000000000	5000000000
한양도성전시관 개관준비 특별전	한양도성 전시관 개관 준비 특별전	문화체육관광	문화예술	지역문화예술진흥 	0	82150000
한양도성전시관 전시설계및 전시물 제작설치 공사	한양도성 전시관 전시 설계 전시물 제작 설치 공사	문화체육관광	문화예술	지역문화예술진흥 	0	1174000000
한옥 매입 및 활용사업	한옥 매입 활용 사업	지역개발	지역및도시	건설건축 	600000000	5000000000
한옥 옛 길 관리계획 수립	한옥 옛 길 관리 계획 수립	지역개발	지역및도시	건설건축 	50000000	50000000
한옥건축 지원(주민커뮤니티 공간조성)	한옥 건축 지원 주민 커뮤니티 공간조성 	문화체육관광	문화재	문화재보존정책 	0	0
한옥건축 지원사업(한옥보존 기본계획 수립 용역)	한옥 건축 지원 사업 한옥 보존 기본 계획 수립 용역 	문화체육관광	문화재	문화재보존정책 	0	0
한옥마을 및 한양도성 인근마을 가꾸기 공동체 지원사업	한옥 마을 한양도성 인근 마을 가꾸기 공동체 지원 사업	문화체육관광	문화재	문화재보존정책 	73000000	365000000
한옥수선 및 신축 지원사업	한옥 수선 신축 지원 사업	지역개발	지역및도시	건설건축 	1570000000	8840000000
한전인입 가공선로 지중화사업	한전인입 가공선로 지중화 사업	일반공공행정	일반행정	일반행정지원 	0	350000000
한지문화축제 지원	한지 문화 축제 지원	문화체육관광	문화예술	지역문화예술진흥 	250000000	250000000
할아버지·할머니 봉사대 활동 지원	할아버지 할머니 봉사대 활동 지원	사회복지	노인청소년	노인생활안정 	1593433000	7381506000
함석헌 기념관 건립(주민참여)	함석헌 기념관 건립 주민참여 	문화체육관광	문화예술	지역문화예술진흥 	0	1500000000
합정 배수분구 하수관로 종합정비	합정 배수분구 하수관로 종합 정비	환경보호	상하수도및수질	상수도 	2500000000	7500000000
합정 빗물펌프장 시설용량 증대	합정 빗물 펌프장 시설 용량 증대	지역개발	수자원	하천 	3300000000	9121000000
항공사진 촬영 및 판독	항공 사진 촬영 판독	지역개발	지역및도시	건설건축 	767048000	3912424000
해바라기 어린이공원 등 노후시설 정비(주민참여)	해바라기 어린이공원 노후 시설 정비 주민 참여 	지역개발	지역및도시	건설건축 	850000000	850000000
해산장제급여	해산 장제 급여	사회복지	취약계층지원	장애인생활안정지원 	0	0
해설사와 함께하는 서울 도보관광 코스 개발·운영	해설사 함께 서울 도보 관광 코스 개발 운영	문화체육관광	관광	관광정책 	1229800000	5878200000
해양관 보수보강 공사	해양관 보수 보강 공사	지역개발	지역및도시	건설건축 	0	100000000
해외 수학(학생)여행 단체 지원	해외 수학 학생 여행 단체 지원	문화체육관광	관광	관광정책 	150000000	750000000
해외 유명 여행서 서울판 발간지원	해외 유명 여행서 서울판 발간 지원	문화체육관광	관광	관광정책 	87000000	448000000
해외 자매도시 교류 및 국제회의 참석	해외 자매도시 교류 국제 회의 참석	일반공공행정	일반행정	선거관리 	471600000	2326699000
해외도시와의 정책교류 활성화	해외 도시 정책 교류 활성화	산업중소기업	무역및투자유치	무역 	366615000	1710284000
해외미디어 취재지원	해외 미디어 취재 지원	일반공공행정	일반행정	일반행정지원 	200000000	1040000000
해외시장 관광교역전 참가	해외 시장 관광 교역전 참가	문화체육관광	관광	관광정책 	434567000	1978268000
해외유수행정대학원 서울시정사례연구 교과목 운영지원	해외 유수 행정 대학원 서울시정 사례 연구 교과목 운영 지원	교육	고등교육	대학관리일반 	252544000	1241376000
